PARTAILLE,IDAIRE,POPULATION,JOBS,STOCKFDI,FLUXFDI
1,1,12389775,5758402.88,682402,63052
2,2,2229564,965231.05,116363,8383
3,3,1734277,683420.78,68815,7622
4,4,1291517,556956.28,58989,2833
5,5,1175828,507340.65,55909,4693
6,6,1174924,492586.36,32867,3295
7,7,1004826,394486.54,27340,1568
8,8,902031,391748.31,31177,2092
9,9,770215,341073.43,43132,3149
10,11,694367,306289.07,19896,1116
11,10,682150,298092.67,29233,1070
12,12,653521,266095.81,22472,806
13,13,611978,215515.01,7458,248
14,15,579401,230076.89,13045,1908
15,14,539322,174306.05,16655,2584
16,16,518981,196884.14,9542,1392
17,17,515240,197724.69,15750,525
18,18,485819,202545.32,17977,721
19,19,471784,200239.94,22156,864
20,20,432788,183440.74,14376,218
21,21,424792,187934.84,17483,552
22,22,392626,169624.79,14142,448
23,24,388978,169807.26,14352,32
24,25,380236,169557.31,15260,1132
25,27,369795,108787.57,9929,138
26,26,367992,124569.44,16441,787
27,23,356755,167439.47,10906,230
28,28,345857,140932.18,11301,393
29,29,317902,135839.91,12972,304
30,31,313861,108501.37,5169,126
31,30,312556,129944.54,5623,58
32,37,300200,72352.57,5203,71
33,33,294389,121093.41,11077,266
34,36,291443,111768.52,4262,272
35,32,290037,123383.83,13095,2750
36,35,283050,118289.4,5282,103
37,34,282737,113798.89,7956,305
38,40,264647,97917.82,4751,202
39,38,255074,100192.91,14655,841
40,39,252132,109975.33,6403,1039
41,41,247581,105574.32,7369,67
42,42,241495,102079.43,4650,139
43,45,219355,94157.97,6135,78
44,43,216977,83542.77,4073,72
45,46,215408,86047.9,10460,399
46,47,209453,83764.23,4453,104
47,48,191324,76693.63,8859,442
48,49,180814,75166.72,6316,0
49,50,175751,80769.96,7662,291
50,53,168960,55635.26,2564,196
51,51,167180,73553.75,2773,140
52,52,161464,69426.91,3688,0
53,54,152872,70682.01,3438,96
54,55,152272,66803.6,2569,30
55,44,147788,97993.41,9740,222
56,56,144671,60912.35,5563,72
57,57,140718,61689.56,6561,70
58,59,136239,50316.22,8053,176
59,60,134132,57787.47,4091,537
60,58,132546,50639.9,3936,90
61,62,129944,61199.51,4487,278
62,61,129752,43546.94,3677,30
63,64,128236,60653.44,6729,731
64,63,126774,48502.26,3564,195
65,67,126252,54894.98,6715,799
66,66,126100,60183.56,2925,10
67,65,125063,55416.67,6308,96
68,71,123697,55030.23,5126,376
69,69,120209,57066.29,2788,344
70,70,118277,40540.79,5615,0
71,72,115497,46228.45,2632,0
72,73,114404,47071.01,3928,261
73,78,114137,37983.56,1546,40
74,76,113214,42752.43,2631,214
75,75,113103,57812.05,3174,370
76,79,112801,49918.66,2828,64
77,77,111018,51065.04,4995,0
78,74,110946,41674.75,3780,0
79,86,107436,43794.38,1240,143
80,81,107132,42378.22,2793,237
81,80,106163,43774.9,3040,488
82,90,102647,40596.57,202,20
83,82,101726,28794.16,3474,0
84,88,100768,46200.14,3121,205
85,83,100551,42128.16,3100,47
86,85,100533,43847.37,1961,0
87,92,98318,38246.48,802,0
88,89,98048,43424.72,4882,68
89,91,97587,39830.94,1285,0
90,84,97414,51075.53,4465,806
91,87,95014,46160.27,2015,77
92,94,94160,35216.09,1573,24
93,97,93465,37375.57,342,0
94,98,92845,26072.19,4673,114
95,93,92590,43948.57,4553,2833
96,100,92501,40774.14,4557,0
97,95,92304,42000.24,4329,53
98,101,91825,34609.4,1301,10
99,102,91508,26859.64,886,195
100,96,91099,41688.88,3203,0
101,103,89702,29493.55,1043,0
102,99,87855,37586.99,1857,118
103,104,84565,41279.37,3014,0
104,105,84401,30803.68,2635,0
105,110,83576,27011.41,623,46
106,109,81574,30361.67,676,200
107,107,81166,37194.89,2686,342
108,108,79088,31499.17,2190,0
109,111,78742,27082.25,2441,116
