"","model","y","x","alpha","beta","beta_error","pval","BIC","file","alpha_zero","beta_zero","beta_error_zero","pval_zero"
"1","Poisson","JOBS","POPULATION",-1.41020892994422,1.03924318836549,0.000271094568465422,0,Inf,"oliv10",NA,NA,NA,NA
"2","Poisson","STOCKFDI","POPULATION",-5.09351209127755,1.1347748644825,0.00083999491957221,0,22874.3335530324,"oliv10",NA,NA,NA,NA
"3","Poisson","FLUXFDI","POPULATION",-8.91976113025726,1.22335019691568,0.0029566635119432,0,3097.58825331752,"oliv10",NA,NA,NA,NA
"4","Poisson","JOBS","POPULATION",-1.48088386726032,1.04364976138945,0.000189929010516663,0,Inf,"oliv30",NA,NA,NA,NA
"5","Poisson","STOCKFDI","POPULATION",-5.3798439701036,1.15256032835684,0.000597461056655274,0,54304.1746235322,"oliv30",NA,NA,NA,NA
"6","Poisson","FLUXFDI","POPULATION",-10.2280625580376,1.30498553459538,0.00222184842974767,0,12002.7521759289,"oliv30",NA,NA,NA,NA
"7","Poisson","JOBS","POPULATION",-1.37766467379957,1.03693892773208,0.000160523962042574,0,Inf,"oliv55",NA,NA,NA,NA
"8","Poisson","STOCKFDI","POPULATION",-5.45357680732483,1.15718189930009,0.000512121447229981,0,89253.4613433464,"oliv55",NA,NA,NA,NA
"9","Poisson","FLUXFDI","POPULATION",-10.3659143061365,1.31374774703172,0.00193385068665735,0,23219.8014897858,"oliv55",NA,NA,NA,NA
"10","zeroInflatedHurdle","FLUXFDI","POPULATION",-10.2810771276334,1.30837386380581,0.00194160966794241,0,22283.8706613469,"oliv55",-74.2347113543609,6.30412526664018,4.33010755306004,0.145425266533061
"11","Poisson","JOBS","POPULATION",-1.30588753117356,1.0322418258308,0.000145943973990779,0,Inf,"oliv80",NA,NA,NA,NA
"12","Poisson","STOCKFDI","POPULATION",-5.23878327461713,1.14332533638963,0.000467446064683986,0,107534.262184651,"oliv80",NA,NA,NA,NA
"13","Poisson","FLUXFDI","POPULATION",-10.1535911624133,1.30023467982599,0.00178194188555452,0,29031.1683172014,"oliv80",NA,NA,NA,NA
