model,type,y,x,alpha,beta,beta error,pval,BIC,file
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0001641327,1.205148506,0.2777524668,7.93E-028,1426.36313341,oliv105FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.3110105322,1.0222569584,0.0335415911,0.0008963193,2278.05243374,oliv105JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0058107705,1.1365948335,0.0623756802,0.3510231832,1979.70509726,oliv105STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0001412614,1.2198214282,0.4078780735,0.513826784,178.705900609,oliv10FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.2443383917,1.0391774257,0.1215896897,0.112448179,240.372722308,oliv10JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0063615493,1.1324423393,0.3873764075,0.6988131485,224.92024422,oliv10STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0001624744,1.2062752359,0.2436583679,6.23E-031,1634.28775829,oliv130FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.312852429,1.0218766406,0.0298457907,0.000429152,2780.83303685,oliv130JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0049234806,1.1481155478,0.0484863811,0.1128139925,2398.91942633,oliv130STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0001472309,1.2129657136,0.1649179563,4.00E-033,1712.18438401,oliv155FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.3334461591,1.0170787981,0.0270849668,0.000298581,3264.83853864,oliv155JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0053966776,1.142152956,0.0398503999,6.13E-009,2869.92038446,oliv155STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0001922495,1.1952002118,0.28893305,1.19E-032,1828.07336787,oliv180FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.3959915422,1.0038499168,0.0270064627,7.96E-005,3733.20582464,oliv180JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0058302599,1.1368476229,0.0542856674,8.87E-012,3278.01761252,oliv180STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0002788044,1.1701061945,0.3263057072,1.80E-031,1911.3010504,oliv205FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.4131632722,1.0003569227,0.0251505904,0.0001028141,4185.25079001,oliv205JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0065738221,1.1284016353,0.0428634755,3.93E-014,3676.33539512,oliv205STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0002675077,1.1730867928,0.281202337,6.09E-033,1973.84127345,oliv230FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.4470003759,0.993827702,0.0183676656,5.11E-005,4618.00416099,oliv230JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0070291501,1.1232621826,0.0506648296,2.82E-018,4057.41233386,oliv230STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0002753451,1.1713061117,0.2595600465,8.07E-034,2037.90065595,oliv255FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.4738843667,0.9892956147,0.0201790042,0.0001622839,5072.88367785,oliv255JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0071574872,1.1224823615,0.0571323742,8.71E-019,4473.06619092,oliv255STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0002654936,1.1738655002,0.1986958065,1.10E-034,2073.88023694,oliv280FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.4891550949,0.9868821823,0.0231528356,3.96E-005,5520.1111996,oliv280JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0075602993,1.1184233391,0.0619242396,6.75E-022,4852.78015501,oliv280STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0002599983,1.1753068973,0.2600234225,5.39E-035,2085.48012456,oliv305FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.4996920822,0.9853698567,0.022203532,2.30E-008,5970.07900216,oliv305JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0081763353,1.1129170381,0.0694168113,7.16E-025,5241.51009579,oliv305STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,2.32E-005,1.3347932162,0.4646718959,0.0563298881,493.888150991,oliv30FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.2282287687,1.0434138231,0.0376467923,0.2434340054,699.578911554,oliv30JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0043216771,1.156974184,0.1062326504,0.9305900998,622.907261134,oliv30STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.0002588401,1.175683299,0.2302176479,1.69E-035,2121.57788248,oliv330FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.55515888,0.9771188065,0.0233968418,7.04E-011,6432.64202413,oliv330JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0091301147,1.1044958143,0.0583697789,1.46E-028,5601.22362271,oliv330STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,0.000267843,1.173417943,0.313363323,1.02E-035,2145.782858,oliv355FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.583005134,0.973786479,0.032433621,1.60E-021,6913.350205,oliv355JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0095624416,1.1013619959,0.0553897599,6.08E-029,5977.88032239,oliv355STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,3.40E-005,1.3088039082,0.353155474,9.13E-010,847.193339404,oliv55FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.2533703302,1.0366082067,0.041559409,0.0051161272,1252.96001388,oliv55JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0041798189,1.1588331875,0.0974049533,0.7040666804,1098.58822072,oliv55STOCKFDI.txt
ConstrainedDAnalysis,general,FLUXFDI,POPULATION,4.42E-005,1.2924406982,0.1404626908,1.10E-010,1136.61235086,oliv80FLUXFDI.txt
ConstrainedDAnalysis,general,JOBS,POPULATION,0.2824526701,1.0292694687,0.044490208,0.0003610845,1769.67183504,oliv80JOBS.txt
ConstrainedDAnalysis,general,STOCKFDI,POPULATION,0.0062679461,1.1312949995,0.0906202543,0.4402211123,1542.86614855,oliv80STOCKFDI.txt
ConstrainedDFixedBetaAnalysis,general,FLUXFDI,POPULATION,0.0025147314,1,0,7.88E-025,1440.91940403,oliv105FLUXFDI.txt
ConstrainedDFixedBetaAnalysis,general,JOBS,POPULATION,0.4130905011,1,0,0.0030136563,2276.50133458,oliv105JOBS.txt
ConstrainedDFixedBetaAnalysis,general,STOCKFDI,POPULATION,0.0318185476,1,0,0.0437753938,1987.97219865,oliv105STOCKFDI.txt
ConstrainedDFixedBetaAnalysis,general,FLUXFDI,POPULATION,0.0031808458,1,0,0.3165720613,184.177007052,oliv10FLUXFDI.txt
ConstrainedDFixedBetaAnalysis,general,JOBS,POPULATION,0.4284549698,1,0,0.8692866953,241.550729075,oliv10JOBS.txt
ConstrainedDFixedBetaAnalysis,general,STOCKFDI,POPULATION,0.0414569836,1,0,0.2407096344,228.482220548,oliv10STOCKFDI.txt
ConstrainedDFixedBetaAnalysis,general,FLUXFDI,POPULATION,0.0024491068,1,0,3.39E-028,1648.39303126,oliv130FLUXFDI.txt
ConstrainedDFixedBetaAnalysis,general,JOBS,POPULATION,0.4124289049,1,0,0.0002995282,2780.3332624,oliv130JOBS.txt
ConstrainedDFixedBetaAnalysis,general,STOCKFDI,POPULATION,0.0299640213,1,0,7.98E-005,2414.57713388,oliv130STOCKFDI.txt
ConstrainedDFixedBetaAnalysis,general,FLUXFDI,POPULATION,0.0023787987,1,0,1.29E-030,1726.18949484,oliv155FLUXFDI.txt
ConstrainedDFixedBetaAnalysis,general,JOBS,POPULATION,0.4121551545,1,0,0.0003777565,3262.86832849,oliv155JOBS.txt
ConstrainedDFixedBetaAnalysis,general,STOCKFDI,POPULATION,0.0321022831,1,0,1.05E-015,2895.29017417,oliv155STOCKFDI.txt
ConstrainedDFixedBetaAnalysis,general,FLUXFDI,POPULATION,0.0025085194,1,0,1.63E-029,1841.36873425,oliv180FLUXFDI.txt
ConstrainedDFixedBetaAnalysis,general,JOBS,POPULATION,0.4149926925,1,0,0.0001335731,3728.15542798,oliv180JOBS.txt
ConstrainedDFixedBetaAnalysis,general,STOCKFDI,POPULATION,0.0316331504,1,0,6.46E-017,3299.33817136,oliv180STOCKFDI.txt
ConstrainedDFixedBetaAnalysis,general,FLUXFDI,POPULATION,0.0026786293,1,0,1.92E-028,1923.5349599,oliv205FLUXFDI.txt
ConstrainedDFixedBetaAnalysis,general,JOBS,POPULATION,0.4149292979,1,0,0.0001065763,4179.92930324,oliv205JOBS.txt
ConstrainedDFixedBetaAnalysis,general,STOCKFDI,POPULATION,0.0314893551,1,0,3.64E-017,3692.3640793,oliv205STOCKFDI.txt
ConstrainedDFixedBetaAnalysis,general,FLUXFDI,POPULATION,0.0026539066,1,0,5.22E-030,1985.58173569,oliv230FLUXFDI.txt
